Date,Open,High,Low,Close,Volume
2023-01-06 10:41:00,1.06011,1.06054,1.0601,1.06045,0.0
2023-01-06 10:42:00,1.06043,1.06049,1.05995,1.06042,0.0
2023-01-06 10:43:00,1.06044,1.06056,1.06018,1.06023,0.0
2023-01-06 10:44:00,1.06024,1.06037,1.05999,1.06003,0.0
2023-01-06 10:45:00,1.06004,1.06069,1.06003,1.06063,0.0
2023-01-06 10:46:00,1.06064,1.06071,1.06049,1.0607,0.0
2023-01-06 10:47:00,1.06069,1.06085,1.0605,1.06085,0.0
2023-01-06 10:48:00,1.06083,1.06092,1.06072,1.06088,0.0
2023-01-06 10:49:00,1.06089,1.06099,1.06073,1.0609,0.0
2023-01-06 10:50:00,1.06091,1.06118,1.06077,1.06106,0.0
2023-01-06 10:51:00,1.06107,1.06123,1.0606,1.0606,0.0
2023-01-06 10:52:00,1.06059,1.06073,1.06038,1.06045,0.0
2023-01-06 10:53:00,1.06046,1.06079,1.06039,1.06071,0.0
2023-01-06 10:54:00,1.06071,1.06071,1.06039,1.06058,0.0
2023-01-06 10:55:00,1.06058,1.06063,1.06035,1.06056,0.0
2023-01-06 10:56:00,1.06053,1.06066,1.06004,1.06011,0.0
2023-01-06 10:57:00,1.06011,1.06018,1.05999,1.06013,0.0
2023-01-06 10:58:00,1.06015,1.06042,1.06011,1.0602,0.0
2023-01-06 10:59:00,1.06021,1.0604,1.06011,1.06016,0.0
2023-01-06 11:00:00,1.06018,1.06042,1.06008,1.06011,0.0
2023-01-06 11:01:00,1.06011,1.06021,1.05979,1.06019,0.0
2023-01-06 11:02:00,1.06019,1.06031,1.06004,1.06019,0.0
2023-01-06 11:03:00,1.06022,1.06038,1.06004,1.06024,0.0
2023-01-06 11:04:00,1.06022,1.06027,1.05994,1.06018,0.0
2023-01-06 11:05:00,1.0602,1.06031,1.05967,1.05967,0.0
2023-01-06 11:06:00,1.05968,1.06018,1.05968,1.06014,0.0
2023-01-06 11:07:00,1.06014,1.06036,1.0601,1.06036,0.0
2023-01-06 11:08:00,1.0604,1.06049,1.06026,1.0603,0.0
2023-01-06 11:09:00,1.06029,1.06099,1.06012,1.06092,0.0
2023-01-06 11:10:00,1.06093,1.06132,1.06079,1.06131,0.0
2023-01-06 11:11:00,1.06132,1.06132,1.06084,1.06103,0.0
2023-01-06 11:12:00,1.06104,1.06131,1.06093,1.06129,0.0
2023-01-06 11:13:00,1.06129,1.06134,1.06098,1.06112,0.0
2023-01-06 11:14:00,1.06111,1.06122,1.06052,1.06052,0.0
2023-01-06 11:15:00,1.06051,1.06061,1.06026,1.06027,0.0
2023-01-06 11:16:00,1.06027,1.06029,1.05991,1.06012,0.0
2023-01-06 11:17:00,1.06013,1.06016,1.05984,1.05988,0.0
2023-01-06 11:18:00,1.05987,1.05997,1.05976,1.0599,0.0
